品牌女装版师,0.6-1万/月,8000,成都市成华区金岚地服装厂,民营公司,150-500人,成都市金牛万达广场甲级写字楼B座19层金岚地服饰,6725,1816,公共交通,1人 | 学历不限 | 工作经验不限,2017-04-10,"
						要求：1、年龄30-40岁，限***；2、品牌女装三年以上制版经验；3、熟悉女装的流行趋势，关注服装的变化。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82703799,82703799,2535702
导购/高端品牌女装销售（桐梓林/航空路）,0.5-1万/月,7500,成都香榭丽实业有限公司,民营公司,150-500人,第一办公区：成都市武侯区人民南路四段45号新希望大厦12楼7号,8020,1937,公共交通,若干人 | 大专 | 3-4年工作经验,2017-04-10,"
						岗位职责


1、接受上级的工作安排，具备独立完成搭配的销售技能，实现销售目标；

2、熟练掌握卖场商品知识；

3、及时向直属上级汇报销售情况；

4、了解顾客的需求用专业知识引导顾客并做好服务最终达成销售；

5、做好所负责区域的卫生清洁工作。

任职资格

1、高中及以上学历；

2、年龄20岁—35岁，五官端正，身体健康，身高1.60米以上；

3、普通话标准流利；

4、良好的服务意识和表达沟通能力；

5、良好职业道德和个人素养；

6、有高端品牌女装销售经验者优先，

（无相关工作经验且条件优秀者有销售工作经历即可）；

7、试用期月薪",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73427264,73427264,2693388
招生运营推广主管,5-8千/月,6500,成都清渊健身有限公司,民营公司,150-500人,成都市高新区天府大道北段8号苏宁广场（火车南站交通枢纽旁）6F 清健身,9686,2469,公共交通,1人 | 大专 | 工作经验不限,2017-04-10,"
						岗位职责：
1，软文撰写（天生段子手最好，需要有较强的逻辑思维水平）
2，简单的PS，根据舆情热点做相应的传播稿件
3，网站SEO/SEM
4，各论坛推广
5，拟定并执行好招生计划和实施招生咨询、宣传工作，制定并落实招生工作方案
任职资格：
1.学历大专以上，最好是中文相关专业
2.工作经验：1年（如果你文笔好，然后又聪明想学习，应届毕业生也是可以的）
3.有教育行业招生相关工作经验者优先
4. 具有较强的事业心、责任感和服务意识，爱岗敬业，诚实守信；
5. 具有较强的组织协调能力、文字表达能力、语言沟通能力，熟练使用计算机办公软件；
工作时间：
周一",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87706517,87706517,2616793
品牌服饰高级买手,6+ 千/月,6000,成都市成华区金岚地服装厂,民营公司,150-500人,成都市金牛万达广场甲级写字楼B座19层金岚地服饰,6725,1816,公共交通,若干人 | 学历不限 | 工作经验不限,2017-04-10,"
任职资格：1、熟悉国内国际上知名女装品牌；2、良好的审美及流行趋势的捕捉敏感度；3、丰富的买手经验及资源； ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81962945,81962945,2535702
品牌手机促销员,0.3-1万/月,6500,成都禾润通讯有限责任公司,民营公司,150-500人,四川省成都市青羊区太升南路136号蜀泰商厦11-4(沃特酒店对面）,2374,1289,公共交通,若干人 | 高中 | 工作经验不限,2017-04-10,"
						工作职责：
1、在公司合作的终端门店负责魅族、努比亚、中兴、乐视等品牌手机销售，并按时按要求提报销售数据;
2、对所负责品牌手机库存进行管理，同时协助销售人员开展市场活动。
任职要求：
1、男女不限，年龄18-35岁，其中魅族品牌促销需20岁以上；
2、高中以上学历，如能力优秀可降低学历标准；
3、熟悉智能手机产品，有一年以上通讯行业同等职位工作经验优先；
4、五官端正，形象气质佳；
薪资福利：
1、薪酬结构：基本工资+单台提成+社保+公积金，综合收入在3000—10000元/月不等；
2、公司提供专业培训、旅游；
3、完善的晋升通道：根据能力及个人意愿提",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84254949,84254949,2831173
校招-营销策划（系统性培训、1V1带教、成长速度快）,6-8千/月,7000,成都正合地产顾问股份有限公司,民营公司,1000-5000人,成都市东城根上街95号成证大厦2楼,4072,1689,公共交通,15人 | 学历不限 | 工作经验不限,2017-04-10,"
						在正合，228门培训课程，1.8W培训课时，一对一悉心指导，沙龙分享
在正合，3/6个月一次晋级，毕业前可转正/晋级，1=3发展速度

针对（成都）校招录用，我们将启动【正合营销特训营】培训项目
开班时间：2017年4月初（通过培训考核后即为正式录用）
a) 职场体验-短时、深度浸泡，解开行业“神秘面纱”，把控未来发展脉搏
b) 地产“黄埔军校”护航-培训覆盖个人发展轨迹，1V1带教，3/6个月一次晋级机会
c) 五大福利-录用/转正绿色通道、培训津贴、午餐补贴、业绩提成、地产“黄埔军校”能力认证

a) 基本要求：本科或以上学历，房地产经营管理/土地资源管理/市",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87263997,87263997,1866778
策划专员,5-8千/月,6500,成都顶呱呱品牌营销策划有限公司,民营公司,500-1000人,成都市武侯区科华北路世外桃源酒店写字楼2层、3层,4801,1902,公共交通,2人 | 大专 | 5-7年工作经验,2017-04-10,"
1、负责旗下项目的品牌策略制定及执行； 2、善于挖掘与提炼品牌价值，利用创新思维形成方案，独立完成相关方案的策划工作； 任职要求： 1、具广告公司工作经验，5年以上的品牌整合、公关活动或房地产项目策划创作经验； 2、具备良好的策略性思维能力和市场敏锐度； 3、能够进行策略方案的撰写并指导创意的方向； 4、为客户提供具有可执行性的整合营销传播方案。加入我们，您将享受到： 1、员工活动：公司每月组织丰富多彩的拓展活动，让同事间彼此增进联系，互帮互助。 2、年度旅游：定期组织优秀员工年度旅游活动，让工作有意外惊喜，让生活更有乐趣。 3、各项福利：公司提供免费工作餐、社会保险、节假日福利（礼品/礼金",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86485166,86485166,4131683
营销策划专员/主管,4-8千/月,6000,成都顶呱呱投资集团有限公司,民营公司,1000-5000人,成都市武侯区科华北路世外桃源酒店写字楼2层、3层,4801,1902,公共交通,3人 | 大专 | 3-4年工作经验,2017-04-10,"
						岗位职责：
1、组织开展各类融洽员工关系、关怀员工、提高工作效率、增加企业凝聚力的活动，打造关爱型企业员工关系； 
2、活动项目具体执行工作、细化项目执行流程。
3、带领团队策划组织集团各业态线上线下客户活动，提交活动总结；
4、友商及竞争市场调研，确定集团各业态市场推广方向及方式；

岗位要求：
1、大专以上学历，1年以上工作经验
2、有员工活动策划相关经历（必要条件），有培训、营销活动策划、广告策划、品牌定位与策划、客户活动等方面经验者优先考虑
3、能够独立工作、能承受工作压力，具备良好的营销意识和团队合作精神；
4、耐心、办事谨慎、细致，对数据的敏感度较高。

加入我们，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87314475,87314475,4130419
星商汇运营（产业团队）,6-8千/月,7000,成都万科房地产有限公司,民营公司,150-500人,成都市静安路1号万科城市花园98栋1座,6292,2407,公共交通,2人 | 学历不限 | 工作经验不限,2017-04-10,"
						1. 负责所辖产业的营运工作，贯彻落实公司经营战略；
2. 制定并实施产业营运方案，研究、制定和实施经营计划，并确保产业项目营运效益；

有新媒体运营经验或品牌推广经验；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79781121,79781121,2151571
线下拓展运营（成都）,4-8千/月,6000,北京焦点互动信息服务有限公司,外资（非欧美）,500-1000人,四川省成都市锦江区东大街99号平安金融中心,1549,1080,公共交通,1人 | 本科 | 2年工作经验,2017-04-09,"
						1.负责搜狐家居频道西南地区相关客户的开拓，谈判并达成合作； 
2.负责拓展客户的日常维护和运营，建立长期稳定的关系； 
3.定期策划线上线下活动并执行，提升客户活跃度和黏性； 
4.对拓展客户需求及竞品市场进行深入研究和响应，对接产品技术，提出改进建议和方案。 

任职资格: 
1.本科及以上学历，985／211院校优先； 
2.踏实细致，灵活性高，抗压性及责任心强，有团队合作精神； 
3.具备一定的的沟通，谈判技巧和能力； 
4.熟悉互联网行业、电子商务等优先，有家装行业经验及资源者优先。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87836318,87836318,3599946
社群运营,4-8千/月,6000,成都美尔贝网络科技有限公司,民营公司,150-500人,人民北路一段金牛万达甲级写字楼B座29楼,6985,2025,公共交通,1人 | 学历不限 | 2年工作经验,2017-04-10,"
						岗位职责：
1、朋友圈所有文案、案例、图片、视频输出；
2、组织策划阶段性营销活动，并组织实施在各渠道的推广和效果跟踪、管理；
3、制定群规则，负责群日常运营；
4、设置群任务，提高群会员；
5、策划群活动，保证群活跃；
6、完成群销售任务。
任职要求：
1、市场营销、市场推广、电子商务专业大专及以上学历；
2、有1年以上自媒体运营经验，能写、能聊、能P图、能传播；
3、对数据敏感，具备数据分析能力，并能将分析结果体现到运营改进上。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87957812,87957812,3662054
策划经理,6-8千/月,7000,成都顶呱呱投资集团有限公司,民营公司,1000-5000人,成都市武侯区科华北路世外桃源酒店写字楼2层、3层,4801,1902,公共交通,1人 | 中专 | 5-7年工作经验,2017-04-10,"
						岗位职责：
1、策划与组织各种具体的活动，合理协调好各部分工作的分工与合作；
2、负责公司产品线上线下宣传推广及包装；
3、指导制作各种宣传材料、产品说明书、销售支持材料等；
4、独立完成广告策划方案、品牌推广方案；
5、协助、指导与支持销售渠道开展业务拓展。
任职要求：
1、男女不限,25-32岁,大专及以上学历；
2、拥有至少3年以上广告营销策划、推广、活动执行相关经验；
3、具备较强的文案、策划基础功底；
4、熟悉品牌的营销、运营及及推广模式；
5、沟通能力强，拥有活动策划执行以及装饰行业工作经验优先考虑；
工作地址
一环路东五段46号天紫界商业",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83962674,83962674,4130419
品牌总监-内衣,6-8千/月,7000,成都丝菲尔商贸有限公司,民营公司,150-500人,四川省成都市锦江区二环路东五段239号华润广场A座20楼2011（万达广场旁边）,5422,2462,公共交通,1人 | 学历不限 | 工作经验不限,2017-04-09,"
						岗位职责：
1、负责培训导师团队的管理及工作安排；
2、负责合作美容院的关系维护和活动的策划；
3、负责美容院的销售目标的完成；
岗位需求：
1、有内衣或者美容美体行业相关管理工作经验2年及以上；
2、能适应川内经常出差；
3、能合理安排导师团队的工作及跟进；

薪资：底薪5000-6000+团队提成+社保+补贴						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87312915,87312915,3595427
运营文案,5.5-6.5千/月,6000,成都华域天府数字科技有限公司,民营公司,150-500人,成都市武侯区小天竺街75号财富国际9层,5009,1614,公共交通,1人 | 大专 | 5-7年工作经验 | 英语 良好,2017-04-10,"
成都华域数字诚招精英人才 http://www.huayushuzi.com --------------------------------------------------------------------------------岗位职责：1、负责公司网站、互联网平台（APP、微信、微博、论坛）的内容运营；2、负责公司产品名称及相关描述的撰写；3、提供公司产品资料及信息参考；4、负责公司各类宣传片、广告、专题片、微电影等各类影片的创意、文案及脚本撰写；5、参与竞标项目的现场提案； 任职要求：1、诚信、乐观、有创新意识；2、熟悉并热爱互联网行业，了解互联网各类产品；3、能承受较大的工作",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85873582,85873582,3173276
