"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)","('job_Id',)","('company_Id',)"
策划师,4-6千/月,5000,戴德梁行房地产咨询（成都）有限公司,外资（欧美）,500-1000人,四川省成都市人民南路四段三号来福士广场T1 30F,5531,1914,公共交通,2人 | 学历不限 | 工作经验不限,2017-03-22,"
						工作地点：成都市
任职要求：
1、  本科或以上学历，市场营销、管理学、经济学等相关专业；
2、至少2年以上房地产市场项目操作及管理经验，熟悉房地产开发、代理流程及房地产政策法规；
3、在专业上具备大局观与前瞻性，在管理上能合理统筹并调动团队积极性；
4、具备较强的开拓创新能力、沟通协调能力及逻辑思维能力，管理风格严谨，责任感强，能承受一定的工作压力；
5、熟练操作OFFICE办公软件，具有独立撰写策划报告的能力。

工作地址
成都市人民南路四段3号来福士广场T1-30						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82275879,82275879,2269565
口碑运营专员,4.5-6千/月,5250,美莱医学美容医院有限公司,民营公司,150-500人,四川省成都市青羊区青华路31号,7693,2285,公共交通,2人 | 高中 | 工作经验不限,2017-03-22,"
						1、协助公司部门领导制定网络营销规划和实施计划，通过网络进行渠道开发和业务拓展； 
2、开拓各类媒体网站合作渠道，维护合作关系，提高品牌关注与曝光度； 
3、负责软文撰写并能够熟练运用网络媒体、邮件、论坛、微信、BBS、IM、SNS等网络推广方式开展网站推广工作，有针对性的口碑营销，新闻炒作和营销推广； 
4、跟踪推广效果，收集反馈信息，提出改进性建议和方案，提高推广质量。 
5、通过网络渠道开发客户资源，跟进客户信息； 组织网络线下活动。
任职资格：
1、有相关网络营销工作经验，精通网络规则； 
2、善于利用多种形式迅速提升网络人气和品牌关注度； 
3、创意佳",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85871100,85871100,2412467
媒体策划,4.5-6千/月,5250,成都拓元文化传播有限公司,民营公司,500-1000人,人民南路四段领事馆路7号保利中心南塔22楼,7241,2047,公共交通,1人 | 本科 | 工作经验不限,2017-03-22,"
						岗位要求：
1、进行相关活动的策略策划
2、文笔佳，有扎实的文字功底和较强的逻辑思维能力，具备品牌、广告、营销、公关四方面策略撰写
3、协助配合销售团队完成公司在行业领域的销售目标，并对销售指标的完成及客户服务的满意度负责
4、可独立撰写重大项目提案；独立策划项目、提案执行
入职要求：
1、本科以上学历，2年或以上相关工作经验
2、独立策划、撰写及现场讲解策略方案的能力
3、策略突出，创意独到，能够指导并指引创作方向
4、具备敏锐的市场洞察能力、出色的品牌策略能力及整合传播技巧
5、思维缜密，富有激情，性格开朗，能率领公司策划团队工作						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81236600,81236600,2678950
活动策划兼人事专员,4.5-6千/月,5250,成都易捷金融服务外包有限公司,民营公司,500-1000人,锦江区大业路6号上普财富中心C座26楼B区,2980,1743,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						职位描述：
岗位要求：
此岗位工作内容以活动策划（尤其年会）为主，人事专员为辅
1、主要负责公司大型活动，如年会、员工活动策划和员工生日会等各项活动的组织与安排
2、负责策划组织各种形式的企业文化主题活动和员工关怀活动，推动公司企业文化的有效落地
3、负责开发并掌握活动支持的各项资源，对活动实施现场进行良好统筹、管理及协调
4、日常人事行政类工作
5、领导交代的其他工作
任职要求：
1.大专及以上学历，有广告公司、公关公司等策划工作经验者优先
2.思维开拓，具有一定活动文案撰写功底，有大型活动经验者优先
3.性格外向，善于交流，做事仔细。具有敏锐观察力和洞察力，思维活跃，责任性",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82557928,82557928,3601987
品牌及市场主任（VIP活动）,6-8千/月,7000,九龙仓中国置业有限公司 WHARF CHINA ESTATES LIMITED,外资（非欧美）,500-1000人,成都市红星路三段1号成都国际金融中心1号写字楼9楼,1510,1043,公共交通,1人 | 本科 | 3-4年工作经验 | 英语 良好,2017-03-22,"
						岗位职责:
1. 负责VIP会员活动的组织策划及现场执行；
2. 对VIP会员活动进行效果分析，完成会员活动的结果反馈；
3. 负责租户品牌推广与维护工作；
4. 协助拓展VIP会员权益拓展及运营管理；
5. 协助拓展异业合作；
6. 完成上级交代的其他工作。

任职要求:
1. 大学本科以上学历；
2. 3年以上品牌及市场工作经验或4A广告公司客户经理经验；
3. 具有一定艺术和文学修养，思维活跃、善于创新，市场敏感度高；
4. 在当地拥有广泛的供应商和合作伙伴资源；
5. 思路清晰，具有良好的沟通协调能力及团队合作精神。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86715285,86715285,2656879
策划专员,4.5-6千/月,5250,成都冠城实业集团,民营公司,500-1000人,成都顺城街308号冠城广场38F,3574,1706,公共交通,1人 | 本科 | 3-4年工作经验,2017-03-22,"
						岗位职责：
        1、收集市场动态、竞争品牌动向、产品与市场信息，并进行市场调研与分析；
        2、根据市场情况和项目定位，制定各项目的推广策略、定价策略、销售策略、渠道及活动策略等；
        3、参与制定部门年度/月度营销工作计划及整体营销推广方案；
        4、监督项目销售计划的执行，保证按时完成公司下达的月度及年度销售任务；
        5、做好项目推广营销总结工作并及时提交项目营销推广调整方案和后续执行方案。

任职资格：
        1、具备房地产策划营销知识、建筑规划知识等房地产专业知识、消费者行为、心理学知",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85351407,85351407,1991720
网络策划/网络编辑,4.5-6千/月,5250,成都市生活家装饰工程有限公司,民营公司,150-500人,成都市青羊区八宝街新城市广场A区（电影院楼上）5楼,5101,1753,公共交通,1人 | 大专 | 3-4年工作经验,2017-03-22,"
						网络策划
主要职责：
1、公司网络渠道以及微信渠道管理
2、公司网络品牌推广与文案策划编写工作，为公司的网络推广提供广告文案并与网络平面配合完成网络推广
3、完成每次活动相关营销工具编写；
4、策划线上线下推广活动。
主要任职要求：
1、大专以上学历，2年左右网络品牌推广经验；
2、较好的文字功底，品牌推广和转化意识；
3、脑洞大，热爱互联网营销，有同行业经验者优先。

薪资福利：
1、公司提供社会保险、生日慰问、节日慰问、婚假、产假/陪护假、丧假、带薪年假等福利；
2、享受带薪提升培训+在职学习/脱产学习奖励+多种竞赛奖励+境内外旅游；
3、学习渠道：员工从入司起参加雏鹰之行",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82505766,82505766,2613112
商管公司企划运营经理,7-8千/月,7500,四川华银达实业有限公司,民营公司,150-500人,武侯区航空路1号国航世纪中心B幢505,8185,2069,公共交通,1人 | 大专 | 3-4年工作经验,2017-03-22,"
						岗位职责：
1.负责招商、运营总体及分阶段的策划，负责组织策划和实施各类招商、运营工作，并了解实施效果提出调整建议；
2.组织补位招商项目产品策划和产品定位；
3.具备良好的文案功底和营销策划能力，思维敏锐，与媒介及广告企业有良好的合作关系；
4.具备对广告创作、平面设计良好的鉴赏能力，有良好的文学功底和美学素养；
5.根据项目营销策略计划，负责项目宣传推广、营销方案执行、活动组织、媒体联络、合作公司协调等工作，并确保执行效果；
6.能够组织和指导市场调研，具备先进的营销理念、较强的市场分析能力和应变能力，定期进行行业市场调查、业态环境调查、国家政策收集，形成调研分析报告。
任",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86945226,86945226,2781473
运营经理,5-8.5千/月,6750,四川大光明眼镜有限公司,民营公司,150-500人,锦江区春熙路北段45号,1543,1070,公共交通,1人 | 大专 | 3-4年工作经验 | 普通话 ,2017-03-22,"
						岗位职责：
1、参与制定公司战略规划及年度经营计划，根据公司战略重点对行业进行调研、分析，提供行业分析报告；
2、实施对消费数据、商品数据、客户数据进行分析，定期收集竞争对手经营数据，并进行对标分析，提交分析报告，为公司战略决策研究提供支持；
3、负责收集、整理公司经营数据编写公司经营活动分析报告，组织公司经营活动分析会，并对经营过程中存在的风险提出预警，带领部门达成业绩指标；
4、负责调研集团化业务流程与管理现状，识别业务单元经营管理中存在的关键问题，对部门人员进行培训，提升部门成员协作、管理能力；
5、参与公司经营计划及年度KPI考核方案的制订、业绩评审；
6、负责公司重大",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84424836,84424836,3563469
品牌部经理,5-8千/月,6500,成都全时叁陆伍超市管理有限公司,民营公司,150-500人,成华区府青路2段2号凯龙财富大厦12层,5266,1789,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责：
1.全面负责公司产品的品牌规划、策划及推广
2.负责新媒体平台（微博、微信公众号）整体运营和推广、新媒体平台文案撰写，提升内容质量和传播度。
2.负责公司媒体关系的建立与维护，负责企业新产品、新业务、新项目等的传播工作，包括软文撰写、线上传播、信息收集与整理等
3.组织实施品牌推广及发展策略，建立有效分析、评估体系，保障品牌建设及推广效果
4.负责公司品牌发展方向，建立高效的品牌管理体系及形象，制作完善品牌管理制度及流程
5.参与公司内外部业务推广项目及公司重大公关活动策划、宣传工作，利用各种宣传渠道，整合资源
6.了解平面设计软件，懂得印刷前期制作和后期工艺流程
",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84083053,84083053,3770472
