"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)","('job_Id',)","('company_Id',)"
营销策划,4-8千/月,6000,成都万科房地产有限公司,民营公司,150-500人,成都市静安路1号万科城市花园98栋1座,6292,2407,公共交通,若干人 | 大专 | 工作经验不限,2017-04-14,"
						1.熟悉各类传统媒体与新媒体的推广模式 2.具有良好的洞察力与创造力，能有效的退出策略与方案 3.具有良好的品牌意识与鉴赏力，还能把控各类推广物料的品质及效果 4.优秀的文字功底和文案制作能力 1.整合各种媒介推广渠道与资源，提出有效的推广策略与方案 2.从推广的角度配合公司各类销售活动、专题活动的开展，持续吸引客群的关注 3.制定合理的推广计划并组织实施 4.审核各类推广文字、图片和物料，保障推广效果 5.参与项目整体营销策略的制定和执行						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78052933,78052933,2151571
市场运营经理,6-8千/月,7000,成都冠城实业集团,民营公司,500-1000人,成都顺城街308号冠城广场38F,3574,1706,公共交通,1人 | 大专 | 8-9年工作经验,2017-04-14,"
						运营经理招聘
一、岗位职责
1、负责公司业务拓展，推动市场招商业务，组织完成公司整体业务计划；
2、根据公司发展战略，制定运营标准及工作流程；
3、制订所负责业务的年度工作计划并监督实施执行；
4、建立并完善运营组织体系；
5、制定所负责部门的各项管理规章、制度；
6、负责协调各部门工作，建立有效的团队协作机制；  
7、负责运营项目管理，包括销售沟通、业务跟进等；
8、负责公司销售活动的策划、执行和评估；
9、完成领导交办的其他工作任务。
二、任职资格
1、熟悉教育培训行业，有五年以上教育培训行业业务拓展经验；有三年以上运营管理工作经验；
2、具有较强的策划、沟通协调、团队管",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85248962,85248962,1991720
品牌推广专员（石油天然气公司）,6-8千/月,7000,中国国际能源控股有限公司四川分公司,民营公司,10000人以上,成都市青羊区上西顺城街三多里82号,2977,1465,公共交通,2人 | 大专 | 工作经验不限 | 普通话 ,2017-04-13,"
						岗位职责：
1、 根据公司项目营销方案，制定品牌建设方案、宣传广告方案等并组织实施；
2、 负责对广告媒体、公关活动单位的选择、监控和对广告宣传效果的评估；
3、 把关稿件撰写方向及稿件质量，以及稿件发布后的验收、检查；
4、 协助公司及各部门图片拍摄并负责收集整理好图片资料；
5、 对所有电子文件进行整理归档，并定期备份。计划并控制好设计的有关成本费用；
6、 开发和管理网络媒体资源，维护媒体关系，与媒体建立长期稳定的合作关系；
7、 提出传播形式创新建议；把控推广成本；
8、 完成上级领导安排的其它工作。
任职要求：
1.大学本科及其以上学历，35周岁以",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85501101,85501101,2926554
资深品牌推广/品牌策划/创意策划/活动方案策划,0.8-1万/月,9000,中国鲜花商城,民营公司,150-500人,成都市锦江区红星路三段99号银石广场18楼,1786,930,公共交通,1人 | 本科 | 3-4年工作经验,2017-04-14,"
						职位描述：
   1、负责营销活动策划、商品促销方案及品牌策略定位；
   2、思维敏捷，创意独到，点子多，创新能力强，有良好的品牌营销策划能力；
   3、对公司旗下鲜花品牌，打造用户体验、对销售策略提出合理性建议；
   4、超强的创意策划能力，有大型互联网公司品牌打造从业经验；
   5、新媒体营销策划：微信、微博、APP、品牌口碑等；
   6、借势营销活动策划，利用当下热点策划营销事件，策划节日专题、打折促销，提升粉丝和用户的参与感，提升产品知名度和用户忠诚度；
   7、制定品牌创意特色服务，提高产品品牌核心竞争力 ；
   8、根据公司的发展战略，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82859997,82859997,2428533
品牌及市场主任（PR）,6-8千/月,7000,九龙仓中国置业有限公司 WHARF CHINA ESTATES LIMITED,外资（非欧美）,500-1000人,成都市红星路三段1号成都国际金融中心1号写字楼9楼,1491,1034,公共交通,1人 | 本科 | 3-4年工作经验 | 英语 良好,2017-04-13,"
						岗位职责:
1. 与媒体保持良好的沟通，有效地维护媒体关系；
2. 紧密跟踪媒体报道执行情况，并及时反馈调整，确保传播计划的落实； 
3. 收集并整理媒体的信息和动态，分析媒体宣传规律和模式； 
4. 撰写传播项目的媒体监测报告，并对传播效果进行的分析和评估 
5. 树立公司良好的公众形象，及时有效的处理危机公关及日常公关事件；
6. 通过行业内活动等多种形式与行业内客户建立广泛联系，发展和维护公司内外的公共关系，扩大公司资源。

任职要求:
1. 大学本科或以上学历，新闻、传播、广告、中文专业毕业优先考虑；
2. 3年以上公关公司、广告公司、媒体、市场或相关",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82603618,82603618,2656879
运营经理,0.6-1.1万/月,8500,成都优易数据有限公司,国企,150-500人,成都市郫都区菁蓉镇静园东路138号（附近）优易数据大厦3F,5212,2080,公共交通,1人 | 本科 | 3-4年工作经验,2017-04-14,"
						岗位职责：
1、建立规范、高效的运营管理体系，优化完善业务操作流程；
2、负责公司基地运营业务管理，监督运营的执行情况和结果；
3、制定基地运营工作目标，控制基地运营成本，带领团队，完成公司任务指标；
4、负责信息化平台的经营数据分析和绩效考核；
5、整合资源，分配资源，协调各个部门，配合业务有效运营；
6、搜集行业信息，分析客户需求，了解市场动态，合理有效的进行资源合作；
7、熟练掌握公司基地管理信息化平台系统和终端业务应用；
8、完成领导交办的其他任务。

职位要求：
1、本科及以上学历，28-35岁，；
2、有公司管理或孵化园管理工作经历，熟悉孵化园运营管理和物业管理等；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85783828,85783828,4251557
品牌经理,,',万腾实业集团有限公司,民营公司,1000-5000人,成都市航空路1号国航世纪中心B幢22F,8185,2069,公共交通,1人 | 本科 | 工作经验不限,2017-04-13,"
						1、协调公司对内、对外的关系，传播推广提高公司知名度，注重塑造公司形象；
2、负责公司品牌、项目品牌发展战略的制定、策划、组织、推广及实施等管理工作。
3、负责公司企业文化建设和CIS（企业形象识别系统）的体系建设。
4、负责公司官网、微信平台等网络媒体工具的完善和维护提升。
5、开展公关关系调研，及时了解新闻媒体关注的焦点，了解公司各项目产业的发展状况及趋势，对调研情况及时整理成系统材料，向领导汇报；
6、搞好公关关系协调，协助公司各部门加强对外工作联系，有计划的开展各项公关活动，积极参与政府及有关部门组织的活动，与社会各界建立长效可行的公关关系；
7、加强与新闻",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87209336,87209336,2528141
运营经理,5-8.5千/月,6750,四川大光明眼镜有限公司,民营公司,150-500人,锦江区春熙路北段45号,1545,1078,公共交通,1人 | 大专 | 3-4年工作经验 | 普通话 ,2017-04-14,"
						岗位职责：
1、参与制定公司战略规划及年度经营计划，根据公司战略重点对行业进行调研、分析，提供行业分析报告；
2、实施对消费数据、商品数据、客户数据进行分析，定期收集竞争对手经营数据，并进行对标分析，提交分析报告，为公司战略决策研究提供支持；
3、负责收集、整理公司经营数据编写公司经营活动分析报告，组织公司经营活动分析会，并对经营过程中存在的风险提出预警，带领部门达成业绩指标；
4、负责调研集团化业务流程与管理现状，识别业务单元经营管理中存在的关键问题，对部门人员进行培训，提升部门成员协作、管理能力；
5、参与公司经营计划及年度KPI考核方案的制订、业绩评审；
6、负责公司重大",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84424836,84424836,3563469
运营总监,0.8-1万/月,9000,成都金海盟珠宝首饰有限公司,民营公司,150-500人,成都市锦江区梨花街39号,3632,1432,公共交通,3人 | 本科 | 工作经验不限,2017-04-14,"
						1、负责抓好公司经营规章制度和细则制定、系统规划年度工作计划，制定标准化、规范化的工作流程，经总经理批准后监督执行。
2、负责为重大决策事项提供数据支持和专项研究报告。负责定期为公司提出定题企业经营状况分析和前景预测报告。
3、管理协调市场部和技术部工作，确保公司经营系统整体功能发挥，对重大问题上报总经理裁决。
4、负责组织制定公司经济责任制考核制度和考核工作实施细则，按月考核评分及时公布。
5、主持公司经营系统总体设计方案，负责全公司经营投资预算方案、在批准后组织实施。
6、密切关注国际国内信息产业动向和趋势，评估重大信息技术的影响，为公司引进先进信息技术提出意见和建议。
7",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87229836,87229836,3912575
高级策划经理（项目策划、前期策划）,6-8千/月,7000,成都易居西部不动产投资顾问有限公司,民营公司,150-500人,成都市青羊区提督街99号恒大中心24楼,2271,1181,公共交通,3人 | 大专 | 3-4年工作经验,2017-04-14,"
						岗位要求：
1、能掌握项目策划方向、目标，能独立执行项目策划并执行；根据项目的特点完成销售条件的筹备建议及准备工作。
2、带领团队完成各个销售节点的策略方案及执行；同时带领团队完成持续销售期活动方案及执行。
3、掌握市场、竞品、推售、项目问题预期及时动态，制定对策方案。
4、根据工作需要调整团队作业模式，合理、高效的调配团队人员工作；
5、制定带教方案、指导策划师制定带教方案并执行；做好日常策划工作中数据、物品、台账等资料管理的监督；配合公司进行策划职能的管理与培训。
6、组织策划组内成员日常团队建设，技术交流等。
任职要求：
1、本科及以上学历，具有3年以上同业相关工作经验。",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=51758532,51758532,2010455
