"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)"
地产策划师/策划经理,6-8千/月,7000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区龙腾东路36号中海大厦五楼链家地产,10296,3170,公共交通,2人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责：
1、进行竞品市场调研，形成分析报告，组织培训；
2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等；
3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题；
4、搜集项目客户问卷，撰写客户分析报告，组织培训；
5、辅助策划经理进行专项大型报告的撰写工作；
6、协助公司其他版块业务进行技术和数据支持工作。
 
任职资格：
1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先；
2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑；
3、 熟悉各种房地产产品的特性，有",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86144211
策划经理,6-8千/月,7000,深圳丝路数字视觉股份有限公司,上市公司,1000-5000人,高新区天仁路387号大鼎世纪广场2栋906,9592,2394,公共交通,若干人 | 学历不限 | 3-4年工作经验,2017-02-23,"
						职位描述：
1，协同客户经理获取客户需求
2，完成方案的撰写。
3，项目方案的讲解。
4，对接制作团队，传递客户需求，推进项目按合同节点完成制作
5，指导策划专员技能提升
岗位要求：
1，广告、新闻、编导、汉语言文学等专业本科及以上学历；
2，具有优异写作能力，有较强的广告创意及文案能力，思维敏捷，洞察力强，语言表达能力强；
3、具备三年以上相关工作经验；
4、有较强的组织协调能力和沟通能力、解决问题的能力；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86165749
高级市场专员（活动策划执行）,,,瑞庭网络技术（上海）有限公司成都分公司-安居客,外资（非欧美）,1000-5000人,成都市锦江区新光华街7号航天科技大厦1701-03室,3777,1548,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						1、根据销售需求策划并执行产品推广及营销活动，负责活动方案的策划创意、执行和管理；
2、协调整合各方资源（如与供应商沟通、与场地方谈判，准备及分发物料），策划、执行活动方案，对活动全流程进行执行和监控；
3、熟悉整体活动流程及特点，可将活动策划方案转化为具体的执行方案，细化工作流程，严格按照时间节点和质量要求完成工作；在活动中收集用户反馈，不断优化活动策划方案；
4、能够胜任从活动策划、活动执行统筹、活动运营、后期收尾的整体活动流程；
5、上级安排的其他工作。
任职要求：
1、全日制大专及以上学历，市场营销等相关专业；
2、2年以上市场策划、活动或产品推广等相关工作经验；
3、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79624697
品牌中心资深文案广告策划经理,8-8千/月,8000,成都易贷网金融信息服务有限公司,民营公司,1000-5000人,四川省成都市锦江区大业路财富中心上普国际C座22楼,2980,1743,公共交通,1人 | 本科 | 3-4年工作经验,2017-02-23,"
						1.  基于对目标受众的精确洞察，进行广告方案策划和广告文案撰写；
2.根据数据分析结果定期更新广告文案；
3.按时完成各品牌营销部的文案需求并协助其完成广告策略执行；
4.指导初级文案人员进行广告文案创作；

任职资格：
1.本科及以上学历；
2. 3年以上广告行业经验；
3. 擅长各类不同文体写作，具有出众的语言驾驭能力；
4. 了解线下和线上各类营销推广方式，能够快速学习并撰写各类文案；
5.  具有发散型创意思维，善于独立思考；
6. 善于沟通，并具备良好的团队合作意识；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86096512
资深活动策划师,5-8千/月,6500,锦江区巴比伦儿童天堂摄影工作室,民营公司,1000-5000人,锦江区总府路12号茂业百货九楼,1430,979,公共交通,2人 | 大专 | 工作经验不限,2017-02-23,"
						1、负责营销活动方案的策划、拟定与组织实施；
2、根据市场信息及行业动态，进行活动策划与执行；
3、执行定期行销活动资讯的更新与维护；
4、评估活动效果并编制活动报告。

任职资格：
1、大专及以上学历，市场营销、工商管理等专业；
2、活动策划经验3年以上；
3、吃苦，接受加班。

工作时间：9：00-18:00
休息时间：每周二
工作地点：锦江区总府路12号茂业百货9F。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86095804
CH9902策划师（6k-8k，优质项目，品牌开发商）,6-8千/月,7000,成都正合地产顾问股份有限公司,民营公司,1000-5000人,成都市东城根上街95号成证大厦2楼,4085,1696,公共交通,2人 | 学历不限 | 工作经验不限,2017-02-23,"
						品牌开发商——万科、保利、绿地等一线开发商！
平台与实力——西南顶尖策划团队、成功挂牌新三板
没有天花板——晋级11层通道可打拼！
持续培训期——228门内训课程可享受！

工作内容：
1） 项目主策，主导房地产项目的营销策划策略、广告、渠道、活动等工作
2）指导、带教辅策的工作，帮助团队专业成长
3）独立对接开发商，维护与开发商的关系

任职要求：
1）两年以上工作经验，较强的市场敏锐度，熟悉房地产营销运作、熟悉策划报告定作及策划工作流程，独立、全程操作1个以上房地产项目，有项目前期工作经验者优先；
2）较强的逻辑分析能力，书面及语言文字表达能力，沟通和协",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86122973
营销策划（总部）,5-8千/月,6500,成都蓝海基业信息技术有限公司,民营公司,500-1000人,成都市高新区益州大道北段777号中航国际交流中心B座,13014,2863,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						岗位职责：
1、产品策划：调研收集用户体验，对公司营销策略、产品改进等提出参考意见；
2、数据分析：分析整理调研数据，定时向领导反馈；
3、推广策划：策划各种线上线下推广方式，分析效果，及时调整；
4、活动策划：相关产品线上线下活动策划及组织执行；
5、渠道合作：联系洽谈资源互换，内容合作、活动合作，整合各种推广渠道，开展深度合作；
6、渠道分析：对网络推广、渠道运营等情况跟踪，收集市场信息，提出针对性推广运营思路，做出分析报告。
7、领导安排的其它工作。
任职资格：
1、大学专科以上学历，市场营销、广告新闻相关专业优先，年龄在23-35岁之间；
2、具有1",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85876851
高级游戏策划,1.2-1.8万/月,15000,竞技世界（北京）网络技术有限公司,民营公司,1000-5000人,四川省成都市,5121,2007,公共交通,1人 | 本科 | 5-7年工作经验,2017-02-23,"
						1、设计手机游戏玩法，系统，关卡，数值等；
2、协同程序、美术团队完善游戏，对产品质量负责；
3、关注用户，注重运营，持续迭代提升产品质量。

任职要求：
1、热爱游戏，踏实肯干，有使命感；
2、学习能力强，沟通优秀，富有团队精神；
3、统招本科及以上学历，985、211院校计算机/软件/通信类专业毕业生优先；
4、具备5年以上网络游戏策划经验，至少经历过一款完整产品的研发上线过程，熟悉网络游戏系统的设计和开发流程者优先；
5、对游戏开发充满热情，玩过及研究过不同类型的游戏，对游戏有独到见解和创意；
6、熟悉市场主流的游戏产品，能准确把握和分析玩家心理。

",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86057848
营销策划主管,0.5-1万/月,7500,成都华商暖通设备工程有限公司,民营公司,500-1000人,成都市高新区环球中心西区（W1单元）7楼716-730,13912,2950,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-23,"
						1、负责公司活动的策划、执行工作，包括前期策划、项目提案、项目预算、项目运营管理流程、前期筹备等工作；
2、负责协调整合各方资源，确认和执行活动方案，对活动全部流程及细节进行把控和管理；
3、负责根据活动现场制作物及外协单位的工作品质进行把控，严格按照时间节点进行执行工作；
4、在活动执行过程中与各部门保持有效沟通，并提出合理化建议及需求；
5、收集活动数据指标及时反馈，对活动进行总结和效果评估；
6、敏锐的洞察力和学习力，新媒体、网络流行文化触觉，灵活运用新的推广、活动互动形式。

任职要求：
1、新闻传媒，广告，市场营销等相关专业，大专以上学历，有2年以上营销",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83322455
旅游广告策划经理,7-9千/月,8000,阿坝州九寨沟县天源豪生度假酒店有限责任公司,民营公司,500-1000人,金牛区兴盛西路2号固特大厦4栋9楼,15081,3539,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
岗位职责:1.负责把控竞价各个渠道的推广方向，并根据渠道制定调整方案；2.完成自身负责账户的统计、分析工作，能对所负责的账户做出规划方向，合理建议等；3.所负责账户关键词搜索、整理，以及分析关键词的行业价值；4.独立编写关键词广告标语，描述创意；5.关键词的效果、投入产出比跟踪与统计分析，统计每日的消费、流量，并优选关键词；并不断优化投放策略，能独立撰写推广效果分析报告；6.分析各个搜索引擎的特点和相关人群的聚合度，制定投放策略、投放计划、预算及实施方案。试用期三个月7000元，转正后9000元 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86022421
